"You receive an email at work that appears to be from your CAD software vendor. The sender's name says ""CAD Vendor Support"" but the actual email address is cadvendorsupport@proton.me. Which of the following best describes this situation?",A caller on the admin line says they're from your CAD vendor and asks you to confirm the login name you use to access the CAD system so they can verify your account. What do you do?,"An email arrives with the subject line: ""URGENT: Your NCIC access will be locked in 2 hours. ACTION REQUIRED."" The email states your NCIC account has been compromised and directs you to click a link and login immediately to change your password. What is the most important thing to do before clicking anything?","Someone calls and identifies themselves as a Network Technician from RapidSOS or PulsePoint. They say there's a data sync issue and ask you to download and run a file they'll email you, which should fix the problem. How should you handle this?",Which of the following is the most reliable way to verify whether an email link is safe before clicking it?,You receive a call from someone claiming to be an IT System Administrator from a neighboring city's IT department. They say they're working with your agency's IT team on a project and ask you to call them back at a separate number that they provide you. Which of these is the safest next step?,A phishing email will most often try to get you to do one of the following. Which is it?,"Someone calls claiming to be from a vendor you work with regularly. They mention your agencies name, one of your dispatchers by name, your CAD platform by name, and reference a recent system update that you know just happened. Does this mean the caller is definitely who they say they are?",You receive an email asking you to reset your work password by clicking a link. The link takes you to a page that looks exactly like your normal login screen. What should you do?,"If you receive a suspicious email or phone call at work that you believe may be a phishing attempt or a social engineering attack, what's the correct next step?",How familiar are you with the concept of phishing and social engineering attacks?,Do you believe dispatch centers like this one are targets for cyberattacks?,How confident are you that you could recognize a social engineering or phishing attempt at work?,Have you received cybersecurity awareness training in the past two years?,I know how to report a suspicious email in our work email client.
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Very familiar,Yes,Somewhat confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,"Refuse to call out to another number, but offer to help on the current call if possible.",Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Very familiar,Yes,Very confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Ignore it. IT would come in person if it was anything important.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Somewhat,Yes,Somewhat confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Very familiar,Yes,Very confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Somewhat,Yes,Somewhat confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Somewhat,Yes,Somewhat confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Somewhat,Yes,Somewhat confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Very familiar,Yes,Very confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Somewhat,Yes,Somewhat confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Very familiar,Yes,Very confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Very familiar,Yes,Very confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Very familiar,Yes,Very confident,Yes,Yes
The sender address is a red flag and the email should be treated with suspicion.,Ask the caller to hold while you transfer them to your supervisor or IT contact.,Check with your manager or IT department about the email's authenticity,Decline to run any files and report the contact to your supervisor or IT.,Hover over the link to preview the URL before clicking.,Look up the neighboring city's IT department number independently and call that number to verify the request.,Click a link or open an attachment.,No - This information may be publicly available or obtained through research.,Check the URL in the address bar carefully before entering any credentials.,"Report it to your supervisor or IT contact, even if you didn't fall for it.",Somewhat,Yes,Very confident,Yes,Yes
